GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mutant-challenge,com.meli.mutant.commons.configuration,DaggerCommonsComponent.Builder,7,15,1,1,2,3,2,1,1,1
mutant-challenge,com.meli.mutant.commons.configuration,CommonsModule,8,32,3,1,1,8,2,4,0,4
mutant-challenge,com.meli.mutant.commons.configuration,CommonsModule_TableNameFactory,0,20,0,0,0,6,0,4,0,4
mutant-challenge,com.meli.mutant.commons.configuration,DaggerCommonsComponent,6,57,0,0,1,16,1,7,1,7
mutant-challenge,com.meli.mutant.commons.configuration,CommonsModule_DynamoDbFactory,0,20,0,0,0,6,0,4,0,4
mutant-challenge,com.meli.mutant.commons.configuration,CommonsModule_MutantImplementFactory,0,38,0,0,0,8,0,4,0,4
mutant-challenge,com.meli.mutant.dal.dao,MutantDaoImpl,56,138,0,0,13,31,0,4,0,4
mutant-challenge,com.meli.mutant.exception,DnaException,0,4,0,0,0,2,0,1,0,1
mutant-challenge,com.meli.mutant.model,Statistics,2,94,2,2,0,19,2,10,0,10
mutant-challenge,com.meli.mutant.model,GatewayResponse,0,25,0,0,0,8,0,4,0,4
mutant-challenge,com.meli.mutant.evaluate,EvaluateMutant,0,330,0,42,0,38,0,30,0,9
mutant-challenge,com.meli.mutant,App,3,64,1,3,1,12,2,3,1,2
mutant-challenge,com.meli.mutant.handler,Mutant_MembersInjector,18,4,0,0,6,2,3,1,3,1
mutant-challenge,com.meli.mutant.handler,Stats_MembersInjector,18,4,0,0,6,2,3,1,3,1
mutant-challenge,com.meli.mutant.handler,Stats,0,69,0,0,0,18,0,3,0,3
mutant-challenge,com.meli.mutant.handler,Mutant,0,116,0,2,0,25,0,4,0,3
